Buy Price (Avg Price ($/kWh) from energyonline.com),Sell Price (Avg Price ($/kWh) from energyonline.com),Emissions (lb CO2e/kWh) from beyondefficiency,Demand Charge
1.73E-02,1.38E-02,0.483867306,14.71
1.37E-02,1.10E-02,0.485395276,14.71
2.11E-02,1.69E-02,0.495583074,14.71
2.98E-02,2.38E-02,0.510128671,14.71
4.31E-02,3.45E-02,0.501807855,14.71
2.76E-02,2.21E-02,0.50828569,14.71
2.07E-02,1.66E-02,0.495064276,14.71
1.68E-02,1.34E-02,0.469895763,14.71
1.71E-02,1.37E-02,0.48703268,14.71
1.55E-02,1.24E-02,0.528084708,14.71
1.73E-02,1.38E-02,0.523890768,14.71
1.90E-02,1.52E-02,0.524113382,14.71
2.00E-02,1.60E-02,0.556391417,14.71
3.53E-02,2.82E-02,0.581206762,14.71
3.26E-02,2.61E-02,0.568612354,14.71
3.53E-02,2.82E-02,0.567537429,14.71
3.33E-02,2.66E-02,0.571397645,14.71
2.68E-02,2.14E-02,0.562488032,14.71
3.47E-02,2.78E-02,0.560684378,14.71
3.43E-02,2.74E-02,0.548541269,14.71
2.47E-02,1.98E-02,0.559445412,14.71
2.79E-02,2.23E-02,0.559172681,14.71
2.46E-02,1.97E-02,0.542370743,14.71
2.48E-02,1.98E-02,0.552410806,14.71
2.30E-02,1.84E-02,0.573229737,14.71
1.86E-02,1.49E-02,0.571595649,14.71
3.23E-02,2.58E-02,0.600928705,14.71
4.87E-02,3.90E-02,0.603092655,14.71
3.13E-02,2.50E-02,0.568416791,14.71
3.14E-02,2.51E-02,0.536787664,14.71
3.23E-02,2.58E-02,0.518358566,14.71
2.11E-02,1.69E-02,0.518093966,14.71
2.09E-02,1.67E-02,0.518221348,14.71
2.03E-02,1.62E-02,0.534674956,14.71
2.06E-02,1.65E-02,0.534865173,14.71
1.63E-02,1.30E-02,0.567201182,14.71
2.11E-02,1.69E-02,0.634753961,14.71
3.16E-02,2.53E-02,0.650477586,14.71
4.73E-02,3.78E-02,0.645159313,14.71
3.83E-02,3.06E-02,0.638795133,14.71
4.31E-02,3.45E-02,0.643386889,14.71
3.50E-02,2.80E-02,0.616386207,14.71
3.23E-02,2.58E-02,0.616028385,14.71
2.50E-02,2.00E-02,0.59805283,14.71
2.39E-02,1.91E-02,0.594711571,14.71
2.49E-02,1.99E-02,0.600336771,14.71
2.18E-02,1.74E-02,0.594714103,14.71
2.09E-02,1.67E-02,0.579992468,14.71
2.19E-02,1.75E-02,0.579994181,14.71
2.13E-02,1.70E-02,0.607588145,14.71
2.45E-02,1.96E-02,0.601028093,14.71
2.89E-02,2.31E-02,0.617348785,14.71
2.41E-02,1.93E-02,0.559008892,14.71
2.09E-02,1.67E-02,0.503530536,14.71
1.88E-02,1.50E-02,0.498421585,14.71
1.89E-02,1.51E-02,0.506446198,14.71
1.45E-02,1.16E-02,0.50117845,14.71
1.88E-02,1.50E-02,0.506531036,14.71
1.93E-02,1.54E-02,0.506511069,14.71
2.32E-02,1.86E-02,0.53061054,14.71
2.14E-02,1.71E-02,0.610587637,14.71
2.96E-02,2.37E-02,0.628525363,14.71
3.19E-02,2.55E-02,0.620163129,14.71
3.74E-02,2.99E-02,0.621168857,14.71
3.26E-02,2.61E-02,0.622170028,14.71
4.37E-02,3.50E-02,0.620169748,14.71
3.63E-02,2.90E-02,0.605722711,14.71
2.83E-02,2.26E-02,0.563622932,14.71
2.92E-02,2.34E-02,0.582383821,14.71
3.91E-02,3.13E-02,0.578836249,14.71
2.92E-02,2.34E-02,0.595838581,14.71
3.04E-02,2.43E-02,0.592417782,14.71
2.79E-02,2.23E-02,0.598961296,14.71
2.89E-02,2.31E-02,0.607054773,14.71
3.64E-02,2.91E-02,0.597354714,14.71
9.93E-01,7.94E-01,0.58263935,14.71
3.13E-02,2.50E-02,0.5515147,14.71
2.64E-02,2.11E-02,0.539099221,14.71
2.21E-02,1.77E-02,0.538086328,14.71
2.04E-02,1.63E-02,0.480810332,14.71
1.79E-02,1.43E-02,0.471523058,14.71
1.61E-02,1.29E-02,0.448689053,14.71
1.49E-02,1.19E-02,0.456801664,14.71
1.67E-02,1.34E-02,0.475921088,14.71
2.22E-02,1.78E-02,0.535606642,14.71
3.06E-02,2.45E-02,0.553223519,14.71
4.50E-02,3.60E-02,0.56713322,14.71
4.36E-02,3.49E-02,0.557021353,14.71
2.94E-02,2.35E-02,0.545427408,14.71
3.39E-02,2.71E-02,0.508173236,14.71
4.20E-02,3.36E-02,0.503455117,14.71
2.95E-02,2.36E-02,0.478751715,14.71
2.52E-02,2.02E-02,0.532185286,14.71
2.85E-02,2.28E-02,0.544916255,14.71
2.60E-02,2.08E-02,0.542665531,14.71
2.47E-02,1.98E-02,0.527675433,14.71
2.40E-02,1.92E-02,0.532810033,14.71
2.38E-02,1.90E-02,0.533370856,14.71
2.25E-02,1.80E-02,0.514044899,14.71
2.79E-02,2.23E-02,0.515113388,14.71
2.34E-02,1.87E-02,0.478644648,14.71
2.02E-02,1.62E-02,0.487484395,14.71
2.35E-02,1.88E-02,0.514718001,14.71
1.69E-02,1.35E-02,0.48971903,14.71
1.96E-02,1.57E-02,0.491353294,14.71
1.99E-02,1.59E-02,0.479929991,14.71
2.66E-02,2.13E-02,0.479729819,14.71
1.60E-02,1.28E-02,0.506739975,14.71
1.98E-02,1.58E-02,0.551046206,14.71
2.66E-02,2.13E-02,0.573442608,14.71
3.89E-02,3.11E-02,0.580792414,14.71
3.12E-02,2.50E-02,0.579008034,14.71
3.12E-02,2.50E-02,0.57288316,14.71
4.09E-02,3.27E-02,0.53547931,14.71
2.94E-02,2.35E-02,0.56260028,14.71
3.95E-02,3.16E-02,0.524659807,14.71
3.05E-02,2.44E-02,0.5530729,14.71
3.22E-02,2.58E-02,0.542960803,14.71
3.10E-02,2.48E-02,0.517430102,14.71
3.03E-02,2.42E-02,0.512010502,14.71
2.83E-02,2.26E-02,0.504580088,14.71
2.68E-02,2.14E-02,0.508766356,14.71
3.20E-02,2.56E-02,0.490755625,14.71
3.23E-02,2.58E-02,0.501514065,14.71
2.95E-02,2.36E-02,0.464496064,14.71
2.29E-02,1.83E-02,0.441425435,14.71
2.38E-02,1.90E-02,0.411828293,14.71
2.24E-02,1.79E-02,0.420038498,14.71
2.20E-02,1.76E-02,0.423616969,14.71
2.29E-02,1.83E-02,0.428479649,14.71
2.46E-02,1.97E-02,0.431627097,14.71
2.11E-02,1.69E-02,0.440129449,14.71
2.81E-02,2.25E-02,0.483863178,14.71
3.14E-02,2.51E-02,0.521037278,14.71
4.10E-02,3.28E-02,0.544177251,14.71
8.89E-02,7.11E-02,0.53796677,14.71
9.14E-02,7.31E-02,0.53173072,14.71
4.54E-02,3.63E-02,0.516619045,14.71
3.31E-02,2.65E-02,0.545686362,14.71
3.98E-02,3.18E-02,0.540635929,14.71
2.94E-02,2.35E-02,0.520285303,14.71
2.63E-02,2.10E-02,0.497190658,14.71
2.85E-02,2.28E-02,0.502902349,14.71
2.55E-02,2.04E-02,0.499168832,14.71
2.70E-02,2.16E-02,0.508721264,14.71
2.81E-02,2.25E-02,0.497413165,14.71
2.71E-02,2.17E-02,0.48936993,14.71
3.84E-02,3.07E-02,0.474923876,14.71
3.49E-02,2.79E-02,0.487376475,14.71
5.68E-02,4.54E-02,0.480352838,14.71
3.44E-02,2.75E-02,0.452397654,14.71
2.17E-02,1.74E-02,0.455852237,14.71
2.56E-02,2.05E-02,0.449449655,14.71
2.32E-02,1.86E-02,0.435338637,14.71
2.68E-02,2.14E-02,0.451706272,14.71
2.99E-02,2.39E-02,0.472090079,14.71
2.48E-02,1.98E-02,0.504909761,14.71
3.11E-02,2.49E-02,0.531198556,14.71
5.34E-02,4.27E-02,0.525684855,14.71
4.69E-02,3.75E-02,0.530436386,14.71
4.47E-02,3.58E-02,0.530889387,14.71
3.37E-02,2.70E-02,0.528725242,14.71
3.66E-02,2.93E-02,0.519857219,14.71
2.72E-02,2.18E-02,0.527733224,14.71
4.17E-02,3.34E-02,0.5138974,14.71
3.13E-02,2.50E-02,0.498112801,14.71
3.07E-02,2.46E-02,0.486614168,14.71
2.75E-02,2.20E-02,0.49554228,14.71
2.53E-02,2.02E-02,0.494014079,14.71
2.80E-02,2.24E-02,0.50175419,14.71
3.34E-02,2.67E-02,0.499222111,14.71
4.09E-02,3.27E-02,0.491757693,14.71
3.48E-02,2.78E-02,0.461720251,14.71
2.89E-02,2.31E-02,0.46988702,14.71
2.42E-02,1.94E-02,0.460310832,14.71
2.30E-02,1.84E-02,0.46317054,14.71
2.35E-02,1.88E-02,0.479306951,14.71
2.18E-02,1.74E-02,0.477627287,14.71
2.20E-02,1.76E-02,0.497194257,14.71
2.22E-02,1.78E-02,0.523637029,14.71
2.67E-02,2.14E-02,0.542917358,14.71
3.33E-02,2.66E-02,0.571196599,14.71
5.47E-02,4.38E-02,0.570257652,14.71
4.82E-02,3.86E-02,0.573505357,14.71
3.55E-02,2.84E-02,0.567416539,14.71
3.30E-02,2.64E-02,0.575130107,14.71
5.35E-02,4.28E-02,0.573677268,14.71
3.76E-02,3.01E-02,0.556564181,14.71
2.94E-02,2.35E-02,0.595586637,14.71
3.97E-02,3.18E-02,0.572929321,14.71
2.72E-02,2.18E-02,0.55718126,14.71
2.81E-02,2.25E-02,0.547229732,14.71
3.10E-02,2.48E-02,0.581299234,14.71
2.84E-02,2.27E-02,0.586921876,14.71
3.61E-02,2.89E-02,0.587446745,14.71
4.18E-02,3.34E-02,0.571116784,14.71
3.07E-02,2.46E-02,0.577815161,14.71
2.20E-02,1.76E-02,0.542882133,14.71
2.46E-02,1.97E-02,0.516464648,14.71
2.00E-02,1.60E-02,0.486356705,14.71
2.11E-02,1.69E-02,0.48434276,14.71
2.12E-02,1.70E-02,0.49736956,14.71
2.28E-02,1.82E-02,0.492542905,14.71
1.02E-05,8.16E-06,0.538831583,14.71
2.06E-02,1.65E-02,0.542644845,14.71
2.75E-02,2.20E-02,0.560176629,14.71
4.03E-02,3.22E-02,0.56276656,14.71
4.22E-02,3.38E-02,0.566537919,14.71
4.56E-02,3.65E-02,0.585934486,14.71
6.42E-02,5.14E-02,0.575849796,14.71
4.14E-02,3.31E-02,0.585460441,14.71
3.56E-02,2.85E-02,0.569908909,14.71
2.37E-02,1.90E-02,0.583397445,14.71
2.71E-02,2.17E-02,0.559087172,14.71
2.73E-02,2.18E-02,0.537588062,14.71
2.39E-02,1.91E-02,0.541708944,14.71
1.36E-02,1.09E-02,0.551392151,14.71
2.02E-02,1.62E-02,0.555154539,14.71
2.28E-02,1.82E-02,0.540625116,14.71
3.56E-02,2.85E-02,0.591563962,14.71
2.48E-02,1.98E-02,0.594399125,14.71
1.49E-02,1.19E-02,0.563442059,14.71
2.14E-02,1.71E-02,0.594038401,14.71
1.76E-02,1.41E-02,0.615658469,14.71
6.35E-03,5.08E-03,0.616294642,14.71
2.08E-02,1.66E-02,0.592603793,14.71
2.95E-02,2.36E-02,0.582050908,14.71
2.64E-02,2.11E-02,0.548676118,14.71
1.36E-02,1.09E-02,0.584342588,14.71
2.06E-02,1.65E-02,0.617597107,14.71
2.28E-02,1.82E-02,0.608517244,14.71
2.27E-02,1.82E-02,0.59924089,14.71
2.39E-02,1.91E-02,0.585932833,14.71
2.58E-02,2.06E-02,0.567991735,14.71
3.25E-02,2.60E-02,0.57795703,14.71
2.44E-02,1.95E-02,0.572859549,14.71
2.19E-02,1.75E-02,0.594260317,14.71
2.60E-02,2.08E-02,0.561355211,14.71
2.39E-02,1.91E-02,0.550414186,14.71
2.56E-02,2.05E-02,0.55228152,14.71
2.76E-02,2.21E-02,0.534053561,14.71
3.31E-02,2.65E-02,0.529219121,14.71
9.77E-01,7.82E-01,0.544351057,14.71
3.02E-02,2.42E-02,0.54214176,14.71
4.96E-02,3.97E-02,0.499831503,14.71
5.00E-02,4.00E-02,0.48936509,14.71
2.32E-02,1.86E-02,0.481489854,14.71
2.11E-02,1.69E-02,0.492211742,14.71
2.26E-02,1.81E-02,0.496542845,14.71
1.67E-02,1.34E-02,0.495064293,14.71
-1.50E-03,-1.20E-03,0.502754558,14.71
-1.49E-02,-1.19E-02,0.516964468,14.71
-1.55E-02,-1.24E-02,0.56280611,14.71
2.57E-02,2.06E-02,0.628497318,14.71
5.55E-02,4.44E-02,0.62934934,14.71
2.76E-02,2.21E-02,0.624969487,14.71
2.65E-02,2.12E-02,0.630775147,14.71
3.30E-02,2.64E-02,0.597042873,14.71
3.16E-02,2.53E-02,0.588692234,14.71
2.46E-02,1.97E-02,0.574935425,14.71
2.34E-02,1.87E-02,0.571515486,14.71
4.01E-02,3.21E-02,0.569680361,14.71
4.24E-02,3.39E-02,0.565092708,14.71
3.10E-02,2.48E-02,0.559849196,14.71
3.14E-02,2.51E-02,0.577846406,14.71
2.99E-02,2.39E-02,0.576558633,14.71
3.93E-02,3.14E-02,0.545086231,14.71
4.70E-02,3.76E-02,0.560660417,14.71
2.67E-02,2.14E-02,0.529848906,14.71
2.14E-02,1.71E-02,0.506062236,14.71
2.07E-02,1.66E-02,0.511473303,14.71
2.15E-02,1.72E-02,0.530887578,14.71
1.90E-02,1.52E-02,0.526068318,14.71
6.86E-03,5.49E-03,0.514387427,14.71
1.46E-02,1.17E-02,0.520459911,14.71
1.56E-02,1.25E-02,0.530196069,14.71
3.23E-02,2.58E-02,0.544372678,14.71
3.08E-02,2.46E-02,0.584728794,14.71
3.84E-02,3.07E-02,0.61390686,14.71
3.85E-02,3.08E-02,0.58865401,14.71
4.04E-02,3.23E-02,0.582594814,14.71
4.76E-02,3.81E-02,0.574757508,14.71
3.52E-02,2.82E-02,0.57780614,14.71
3.28E-02,2.62E-02,0.562819892,14.71
2.87E-02,2.30E-02,0.58446153,14.71
3.76E-02,3.01E-02,0.55915398,14.71
3.64E-02,2.91E-02,0.562970749,14.71
2.75E-02,2.20E-02,0.575438682,14.71
2.62E-02,2.10E-02,0.569193812,14.71
2.71E-02,2.17E-02,0.557821578,14.71
3.73E-02,2.98E-02,0.535691754,14.71
4.80E-02,3.84E-02,0.544286617,14.71
3.51E-02,2.81E-02,0.521268575,14.71
1.81E-02,1.45E-02,0.495854487,14.71
1.99E-02,1.59E-02,0.487313008,14.71
2.00E-02,1.60E-02,0.476930592,14.71
1.84E-02,1.47E-02,0.500173464,14.71
2.34E-02,1.87E-02,0.504344269,14.71
1.48E-02,1.18E-02,0.503664955,14.71
1.00E-02,8.00E-03,0.516946897,14.71
1.49E-02,1.19E-02,0.534136442,14.71
3.03E-02,2.42E-02,0.554538997,14.71
4.07E-02,3.26E-02,0.575268622,14.71
3.96E-02,3.17E-02,0.557576024,14.71
4.19E-02,3.35E-02,0.563092473,14.71
1.05E-01,8.40E-02,0.55269986,14.71
5.37E-02,4.30E-02,0.575697173,14.71
4.02E-02,3.22E-02,0.567841561,14.71
2.92E-02,2.34E-02,0.532870161,14.71
2.54E-02,2.03E-02,0.501999607,14.71
2.43E-02,1.94E-02,0.474240775,14.71
2.42E-02,1.94E-02,0.491831666,14.71
2.39E-02,1.91E-02,0.494809848,14.71
2.76E-02,2.21E-02,0.485028879,14.71
3.05E-02,2.44E-02,0.457770919,14.71
4.73E-02,3.78E-02,0.436528106,14.71
3.31E-02,2.65E-02,0.448416109,14.71
2.38E-02,1.90E-02,0.45637147,14.71
2.97E-02,2.38E-02,0.417084657,14.71
2.25E-02,1.80E-02,0.418743271,14.71
2.34E-02,1.87E-02,0.413212936,14.71
2.16E-02,1.73E-02,0.410356547,14.71
1.70E-02,1.36E-02,0.422286091,14.71
1.39E-02,1.11E-02,0.415495618,14.71
1.52E-02,1.22E-02,0.425353647,14.71
2.54E-02,2.03E-02,0.417517211,14.71
3.80E-02,3.04E-02,0.437654928,14.71
4.39E-02,3.51E-02,0.454609719,14.71
4.97E-02,3.98E-02,0.427113522,14.71
3.77E-02,3.02E-02,0.412576335,14.71
4.83E-02,3.86E-02,0.441653201,14.71
2.77E-02,2.22E-02,0.414829454,14.71
2.43E-02,1.94E-02,0.405632685,14.71
2.93E-02,2.34E-02,0.381746186,14.71
2.94E-02,2.35E-02,0.356593085,14.71
2.78E-02,2.22E-02,0.361960283,14.71
2.63E-02,2.10E-02,0.364143584,14.71
2.47E-02,1.98E-02,0.371979885,14.71
3.10E-02,2.48E-02,0.37518364,14.71
3.83E-02,3.06E-02,0.378654647,14.71
2.62E-02,2.10E-02,0.355943033,14.71
1.98E-02,1.58E-02,0.360596953,14.71
2.06E-02,1.65E-02,0.366454935,14.71
2.20E-02,1.76E-02,0.371365292,14.71
2.50E-02,2.00E-02,0.39030681,14.71
2.35E-02,1.88E-02,0.394573972,14.71
1.90E-02,1.52E-02,0.397530363,14.71
9.63E-06,7.70E-06,0.411602553,14.71
2.37E-02,1.90E-02,0.444992226,14.71
2.80E-02,2.24E-02,0.455701146,14.71
3.37E-02,2.70E-02,0.445299964,14.71
3.56E-02,2.85E-02,0.456993115,14.71
3.49E-02,2.79E-02,0.455424273,14.71
3.76E-02,3.01E-02,0.466707425,14.71
3.37E-02,2.70E-02,0.456782105,14.71
2.92E-02,2.34E-02,0.432385074,14.71
